t,x,y,z
1773742650.3773804,0.075,0.14569619629293493,0.10622826272091546
1773742650.3981183,0.075,0.14569619629293493,0.10622826272091546
1773742650.399344,0.075,0.14569619629293493,0.10622826272091546
1773742650.4064927,0.075,0.14569619629293493,0.10622826272091546
1773742650.4165504,0.075,0.14569619629293493,0.10622826272091546
1773742650.4266605,0.075,0.14569619629293493,0.10622826272091546
1773742650.4388382,0.075,0.14569619629293493,0.10622826272091546
1773742650.4475791,0.075,0.14569619629293493,0.10622826272091546
1773742650.456761,0.075,0.14569619629293493,0.10622826272091546
1773742650.466945,0.075,0.14569619629293493,0.10622826272091546
1773742650.4770584,0.075,0.14569619629293493,0.10622826272091546
1773742650.4871824,0.075,0.14569619629293493,0.10622826272091546
1773742650.4968648,0.075,0.14569619629293493,0.10622826272091546
1773742650.5069833,0.075,0.14569619629293493,0.10622826272091546
1773742650.5178378,0.075,0.14569619629293493,0.10622826272091546
1773742650.5270538,0.075,0.14569619629293493,0.10622826272091546
1773742650.5367756,0.075,0.14569619629293493,0.10622826272091546
1773742650.5475645,0.075,0.14569619629293493,0.10622826272091546
1773742650.5572293,0.075,0.14569619629293493,0.10622826272091546
1773742650.5668228,0.075,0.14569619629293493,0.10622826272091546
1773742650.577005,0.075,0.14569619629293493,0.10622826272091546
1773742650.5870416,0.075,0.14569619629293493,0.10622826272091546
1773742650.5968764,0.075,0.14569619629293493,0.10622826272091546
1773742650.6074657,0.075,0.14569619629293493,0.10622826272091546
1773742650.616878,0.075,0.14569619629293493,0.10622826272091546
1773742650.6287732,0.075,0.14569619629293493,0.10622826272091546
1773742650.6380162,0.075,0.14569619629293493,0.10622826272091546
1773742650.6477416,0.075,0.14569619629293493,0.10622826272091546
1773742650.660103,0.075,0.14569619629293493,0.10622826272091546
1773742650.667902,0.075,0.14569619629293493,0.10622826272091546
1773742650.6786072,0.075,0.14569619629293493,0.10622826272091546
1773742650.6886644,0.075,0.14569619629293493,0.10622826272091546
1773742650.6978443,0.075,0.14569619629293493,0.10622826272091546
1773742650.7086482,0.075,0.14569619629293493,0.10622826272091546
1773742650.7177627,0.075,0.14569619629293493,0.10622826272091546
1773742650.7284663,0.075,0.14569619629293493,0.10622826272091546
1773742650.7376773,0.075,0.14569619629293493,0.10622826272091546
1773742650.74755,0.075,0.14569619629293493,0.10622826272091546
1773742650.7588334,0.075,0.14569619629293493,0.10622826272091546
1773742650.7673135,0.075,0.14569619629293493,0.10622826272091546
1773742650.778528,0.075,0.14569619629293493,0.10622826272091546
1773742650.7881584,0.075,0.14569619629293493,0.10622826272091546
1773742650.7969124,0.075,0.14569619629293493,0.10622826272091546
1773742650.8089123,0.075,0.14569619629293493,0.10622826272091546
1773742650.817313,0.075,0.14569619629293493,0.10622826272091546
1773742650.8281283,0.075,0.14569619629293493,0.10622826272091546
1773742650.8377645,0.075,0.14569619629293493,0.10622826272091546
1773742650.8475013,0.075,0.14569619629293493,0.10622826272091546
1773742650.8578012,0.075,0.14569619629293493,0.10622826272091546
1773742650.8664942,0.075,0.14569619629293493,0.10622826272091546
1773742650.876597,0.075,0.14569619629293493,0.10622826272091546
1773742650.8880918,0.075,0.14569619629293493,0.10622826272091546
1773742650.8975947,0.075,0.14569619629293493,0.10622826272091546
1773742650.9085212,0.075,0.14569619629293493,0.10622826272091546
1773742650.9182758,0.075,0.14569619629293493,0.10622826272091546
1773742650.9275043,0.075,0.14569619629293493,0.10622826272091546
1773742650.9376194,0.075,0.14569619629293493,0.10622826272091546
1773742650.947881,0.075,0.14569619629293493,0.10622826272091546
1773742650.9578137,0.075,0.14569619629293493,0.10622826272091546
1773742650.9677622,0.075,0.14569619629293493,0.10622826272091546
1773742650.9770432,0.075,0.14569619629293493,0.10622826272091546
1773742650.9871554,0.075,0.14569619629293493,0.10622826272091546
1773742650.9968748,0.075,0.14569619629293493,0.10622826272091546
1773742651.0066702,0.075,0.14569619629293493,0.10622826272091546
